obstacleDetectDistance,carLinearSpeed,carTurningSpeed,servoRange,finishTime
0.4866995,161,138,43,132.6563
0.3180822,240,130,74,10.71875
0.1462337,143,246,41,30.625
0.5498953,204,107,86,34.21875
0.1678002,114,118,79,78.70313
0.5649917,143,135,54,118.6563
0.8219126,220,176,51,107.75
0.4991072,109,119,57,79.51563
0.9867356,175,150,77,35.67188
0.3196391,219,114,83,12.48438
0.6590063,193,157,78,12.0625
0.2751715,166,226,66,44
0.3500019,220,210,67,252.125
0.5511513,163,199,57,12.78125
0.6990054,183,164,66,107.4219
0.1378025,232,202,54,68.35938
0.509854,183,181,57,66.59375
0.6592509,118,243,83,35.5
0.4973536,111,157,83,130.6719
0.2038735,244,127,78,24.89063
0.4012926,193,133,70,219.8438
0.7519451,130,128,70,15.71875
0.8283323,132,177,64,26.8125
0.5491717,219,221,30,16.59375
0.2994195,249,185,72,62.42188
0.1837506,111,184,65,69.54688
0.5527297,175,249,68,19.82813
0.9864873,109,123,80,60
0.4348099,249,183,61,62.84375
0.8125742,204,196,48,30.89063
0.2216306,150,225,88,141.6094
0.5186712,113,140,67,83.54688
0.714104,185,178,31,31.51563
0.3512682,164,180,30,76.39063
0.8720011,231,182,35,29.71875
0.5606005,248,121,47,30.6875
0.6600068,170,132,69,126.6094
0.1766128,179,153,86,12.25
0.7697321,228,108,81,126.9219
0.1390584,157,219,60,16.29688
0.7262154,137,175,75,45.73438
0.2374576,122,135,63,322.75
0.2464101,213,200,30,11.78125
0.8451762,206,189,58,118.2969
0.245073,157,111,73,17.09375
0.6788982,181,104,42,29.20313
0.1982446,198,112,36,38.01563
0.1986216,237,178,87,63.73438
0.7955156,158,136,68,81.76563
0.3727907,250,168,81,49.03125
0.7188666,105,158,73,144.0469
0.7093506,152,146,68,292
0.7158193,153,171,30,536.5938
0.2196423,205,173,76,10.10938
0.2592334,130,106,32,16.45313
0.4561606,246,135,74,126.6406
0.6589177,232,158,54,8.65625
0.6410033,212,193,55,190.5156
0.5045905,252,135,52,46.125
0.3662993,124,183,53,48.53125
0.4315241,238,244,83,46.03125
0.3260871,139,162,35,150.2031
0.3198035,218,185,76,39.73438
0.4954175,130,167,41,206.4219
0.4931827,225,189,33,127.4531
0.6685382,159,167,87,184.8438
0.2942425,108,168,43,47.82813
0.6623834,147,116,46,44.82813
0.8944264,121,191,43,247.3906
0.6064305,181,123,88,125.5
0.4639939,116,155,69,199.0781
0.4372066,130,104,61,39.54688
0.9378728,248,163,57,21.125
0.7063669,183,194,49,148.5156
0.2759496,199,203,39,407.4063
0.8852286,140,208,55,148.1094
0.7938973,182,123,36,87.78125
0.9070576,215,152,76,157.0938
0.9786605,143,177,86,24.20313
0.4109917,227,197,30,234.875
